product_title,price,rating,num_reviews,ASIN,manufacturer
"DOUBLE R BAGS Multicolour Canvas Shopping Bag with Double Handle, Cloth Grocery Tote Bags, Reusable Shopping Grocery Bags,Foldable and Eco Friendly Washable Medium (Set of 6) (Dd-0101)",493,4.3,"1,106 ratings",DOUBLE R BAGS,Unisex
"Zebronics Techshield A1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",498,3.6,11 ratings,,
"Amazon Brand – Eono Reusable Tote Bags, 100% Organic Cotton Shopping/Grocery Bag, Multi-Purpose Bag, Sturdy Canvas Bag With 15kgs Capacity, Single Pack (Good Vibes)",179,3.8,"1,232 ratings",B08TTMMGYT,"Srinivasa Textiles, Srinivasa Textiles"
LuvLap Lily Travel Multifunctional Waterproof Diaper Bag-Backpack Cum Tote bag (Black),"1,099",4.4,"1,048 ratings",,
ZaySoo Stylish Casual Laptop Backpack/Office Bag/College Bag/Business Bag/Travel Backpack - Navyblue,307,5.0,2 ratings,B0BVZL49N8,"ZaySoo, ZaySoo"
Gear Inspired Alive Moving 33L Large Water Resistant Travel Duffle Bag/Gym Bag/Sports Duffle for Men/Women (Blue),399,4.3,"1,339 ratings",B08DV7YZL6,Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100
"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,3.9,7 ratings,,
NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag (Black),400,4.2,"5,993 ratings",Freewill Sports Private Limited,Unisex-Adult
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),228,3.7,"12,732 ratings",Rushi Enterprise,Unisex-adult
Gear Superior 16L Small Water Resistant School Bag//Casual Backpack/ Daypack/College Bag for Men/Women - Black,299,3.9,384 ratings,B08GY2ZN96,"Gear, Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100"
"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",747,3.8,"1,159 ratings",B08YR63B9M,"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998"
The Purple Tree Canvas Stylish Printed Tote Bag For Women (Pack Of 1) Tbag00270,349,4.1,163 ratings,B07PLCCQVC,the purple tree
"Amazon Basics Camera Bag for Beginners and Professional Photographers, Flipside Design, Water-Resistant, Heavy-Duty, Removable Dividers for All DSLR/SLR Cameras and Accessories",789,3.5,3 ratings,,
Gear LOGI-Q 27L Medium Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with Trolley Sleevefor Men/Women (Black-White),645,4.7,7 ratings,B0BTJ2VV17,"Gear Merchandise Pvt Ltd, Gear Merchandise Pvt Ltd, E/12 West Chowbaga, Gulshan Colony, Kolkata 700100"
"Safari Crew Overnighter Backpack, 40 Ltr Water Resistant Travel Laptop Bag, Black Polyester Backpack for Men and Women, Spacious Shoulder Bag for Travelling and Camping X Large","1,699",4.3,343 ratings,B097JK3X9D,"Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"AirCase Premium Laptop Bag with 6 Pockets fits Upto 15.6"" Laptop/MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case Cover Sleeve Pouch, for Men & Women,Ash- 6 Months Warranty",598,4.4,"4,268 ratings",,
"Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop","3,299",3.6,23 ratings,B0C3MHG797,"Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020, Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020"
Amazon Brand - Solimo Rectangular Rexine Jumbo Underbed Storage Bag with Zipper and Handle- 18.9 x 23.62 x 14.17 Inches (Black and White),339,4.2,"1,137 ratings",,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,499,4.3,"13,211 ratings",,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,499,4.3,"13,211 ratings",,
"amazon basics Laptop Bag/Office/College Backpack for 15.6 inch laptop, Anti-Theft Design, USB Charging Port (18 L)",719,4.6,175 ratings,,
"MOKOBARA The Radio Backpack Water-Resistant 15.6"" Laptop Bag with Luggage Sleeve for Work, Travel, and Daily Use - Suitable for Men and Women","5,499",,,B0CH8MBCJ1,"Designed By Mokobara Lifestyle Private Limited, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com"
"Genie Swirl Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch). Tie-dye print",899,3.8,15 ratings,B0C85YCDR7,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
Gear Elevate Faux Leather 20L Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with RainCover for Men/Women (Pink),"1,899",,,B0CHYMQN9Y,"Gear Merchandise PVT LTD, Gear Merchandise Pvt Ltd, E/12 West Chowbaga, Gulshan Colony, Kolkata 700100"
"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 14.1"" Laptops (Unisex, Black & Grey)",649,3.9,"1,106 ratings",,
Wildcraft 31 Ltrs 5 inches Backpack (11952-Blue_Blue),954,4.3,209 ratings,B07ZJ7P4Q6,Wildcraft
"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",543,4.0,211 ratings,B0BNL2MJQQ,"muskaan creation, Stylbase India New Delhi"
Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,695,4.3,490 ratings,B097KCMQKG,"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100"
"ASUS TUF Gaming VP4700 46.5 cm X 30.0 cm X13.0 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 46.5 cm Laptop","1,699",4.0,111 ratings,,
Safari Prisma 65 cms Medium Polyester Soft Sided 4 Spinner Wheels Luggage/Suitcase/Trolley Bag (Red),"2,899",4.2,"9,362 ratings",Safari Industries (India) Ltd,unisex-adult
Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),"1,495",4.2,413 ratings,Wildcraft,unisex-adult
"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",619,4.1,"3,993 ratings",POLESTAR,Unisex
"Amazon Basics Camera Bag with Tripod Holder for Beginner and Professional Photographers, Waterproof Cover, Lightweight, Removable Dividers for All DSLR/SLR Cameras and Accessories",949,4.3,997 ratings,,
DZert School Bag Backpack 30 Liters for Boys/Girls Polyester Lightweight Bag (Pink),319,3.6,"1,972 ratings",Rushi Enterprise,Unisex-child
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,100",4.3,97 ratings,B0BRMWDNZ7,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800"
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"4,716",4.4,590 ratings,B083M1QK32,"Hindustan Foam, Hindustan Foam, 16m Golam Jilani Khan Road, Kolkata 700039, Contact : 9831172714"
Lavie Women's Dome Textured Sling Bag | Ladies Purse Handbag | Detachable Crossbody Sling Strap,928,4.0,296 ratings,B08ZHYZF7F,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093."
"MOKOBARA The Radio Backpack Water-Resistant 15.6"" Laptop Bag with Luggage Sleeve for Work, Travel, and Daily Use - Suitable for Men and Women","5,499",,,B0CH8MBCJ1,"Designed By Mokobara Lifestyle Private Limited, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com"
Gear Superior 16L Small Water Resistant School Bag/Daypack/Casual Backpack/College Bag for Men/Women - Orange Black,299,3.8,"1,828 ratings",B08D76PV8B,"Gear, Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100"
Gear Elevate Faux Leather 20L Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with RainCover for Men/Women (Pink),"1,899",,,B0CHYMQN9Y,"Gear Merchandise PVT LTD, Gear Merchandise Pvt Ltd, E/12 West Chowbaga, Gulshan Colony, Kolkata 700100"
Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,929,4.0,"3,244 ratings",B07KMBNKXZ,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 14.1"" Laptops (Unisex, Black & Grey)",649,3.9,"1,106 ratings",,
"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",543,4.0,211 ratings,B0BNL2MJQQ,"muskaan creation, Stylbase India New Delhi"
Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men,"5,999",4.4,225 ratings,B00492,"Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com"
Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,695,4.3,490 ratings,B097KCMQKG,"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100"
"ASUS TUF Gaming VP4700 46.5 cm X 30.0 cm X13.0 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 46.5 cm Laptop","1,699",4.0,111 ratings,,
Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,595,4.1,"1,289 ratings",Gear Merchandise PVT LTD,unisex-adult
"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",619,4.1,"3,993 ratings",POLESTAR,Unisex
"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Multi-pockets with USB Port for Business Travel College,Dark Grey","3,497",4.3,"3,616 ratings",B08HM4TQZZ,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com"
"Amazon Basics Camera Bag with Tripod Holder for Beginner and Professional Photographers, Waterproof Cover, Lightweight, Removable Dividers for All DSLR/SLR Cameras and Accessories",949,4.3,997 ratings,,
Impulse IMP linear 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,5.0,3 ratings,IMP linear Navy blue,18 x 29 x 43 Centimeters
Skybags One Size Brat Black 46 Cms Casual Backpack,619,4.1,"6,270 ratings",B08Z1HHHTD,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
Mammon Women's Tote Bag,199,3.6,"2,789 ratings",B07LBC7Z59,"Retail Studio, Retail studio, 461, Rz-55,Gali 4, chandan colony, IGNOU Main Rd, Saidulajab, New Delhi, Delhi 110069"
"Genie Swirl Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch). Tie-dye print",899,3.8,15 ratings,B0C85YCDR7,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,809,3.8,272 ratings,B0BRJRVH6D,Martucci
"amazon basics Laptop Bag/Office/College Backpack for 15.6 inch laptop, Anti-Theft Design, USB Charging Port (18 L)",719,4.6,175 ratings,,
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),229,3.7,"8,318 ratings",B07WKM1YZC,"DZert, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876"
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",739,4.2,"1,307 ratings",Uber Fashion Merchandise Pvt. Ltd.,unisex-adult
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,320,3.8,"1,855 ratings",HOBO-01,33 x 33 x 5.1 Centimeters
"Dyazo Water Resistant Laptop Sleeve with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",284,4.3,"5,194 ratings",,
Safari RAY VOYAGE 53 Cms Small Cabin Polycarbonate (PC) Hard Sided 4 Wheels 360 Degree Wheeling System Printed Luggage/Suitcase/Trolley Bag (Blue),"2,299",3.9,"2,575 ratings",B08CRYJMQC,"Safari, Safari Industries India Ltd 302-303, A-Wing, The Qube, M V Road, Marol, Andheri East Mumbai - 400059"
DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695,3.9,474 ratings,DAHSHA Enterprise,Men
Genie Flamenco2 Casual Backpacks for Women,649,4.4,"1,632 ratings",B08YF9VHTY,"Safari, 302-303, A Wing, The Qube CTS No.1498, Andheri East, Mumbai, MH-400059, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLU_Blue),449,3.7,108 ratings,B097L2RSF1,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
Gear LOGI-Q 27L Medium Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with Trolley Sleevefor Men/Women (Black-White),645,4.7,7 ratings,B0BTJ2VV17,"Gear Merchandise Pvt Ltd, Gear Merchandise Pvt Ltd, E/12 West Chowbaga, Gulshan Colony, Kolkata 700100"
RIGHT CHOICE quality stylish casual backpack daily use unisex typography college bags (Boys and Girls),299,3.5,"1,012 ratings",Right Choice,Unisex-adult
Gear Triumph Summer Print 26L Medium Water Resistant School Bag/College Bag/Daypack/Casual Backack for Girls/Boys/Men/Women (Blue-Beige),779,4.2,"5,813 ratings",Gear Merchandise PVT LTD,womens
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,100",4.3,97 ratings,B0BRMWDNZ7,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800"
IRY 62 L Hand Duffel Bag - Light Weight Travel Bag/Duffel Bag/Luggage Bag/Dhol Bag/Air Bag - Large Capacity (Sky Blue),599,,,B0CJ738S2T,"IRY, IRY"
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men - Office Bag, Tan Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap","2,298",4.3,"5,202 ratings",B07P3XM78K,"Hindustan Foam, Hindustan Foam, 16m Golam Jilani Khan Road, Kolkata 700039, Contact : 9831172714"
Aristrocrat Unisex Laptop Bag Grey,499,4.4,35 ratings,B0B5YHC1W5,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India'."
"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006","1,567",4.3,"1,444 ratings",B07YYG5G31,"TRAWOC, TRAWOC Gears, Customer care: mail@trawoc.com, Whatsapp: 86067 96695"
Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,959,4.1,"20,952 ratings",B08J8M2B42,"Lavie, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,452,4.0,"6,868 ratings",,
Kuber Industries Silk Embroidered Women Potli Bag (Cream) -CTKTC8803,265,3.8,108 ratings,,
Gear CarryOn 16L Foldable Water Resistant School Bag/Hiking Daypack/Backpack/College Bag for Men/Women (Black-Orange),229,3.8,"5,624 ratings",Gear Merchandise PVT LTD,unisex-adult
DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695,3.9,474 ratings,DAHSHA Enterprise,Men
LuvLap Lily Travel Multifunctional Waterproof Diaper Bag-Backpack Cum Tote bag (Black),"1,099",4.4,"1,048 ratings",,
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,"1,329",4.1,540 ratings,B09RK6NCGC,"Trajectory Marketing LLP, Customer support contact no:- 8178915719"
Gear Inspired Alive Moving 33L Large Water Resistant Travel Duffle Bag/Gym Bag/Sports Duffle for Men/Women (Blue),399,4.3,"1,339 ratings",B08DV7YZL6,Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100
CROSS EFFECT Laptop Bag,599,3.6,28 ratings,LP BAG,35 x 50 x 10 Centimeters
ZaySoo Stylish Casual Laptop Backpack/Office Bag/College Bag/Business Bag/Travel Backpack - Navyblue,307,5.0,2 ratings,B0BVZL49N8,"ZaySoo, ZaySoo"
"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,342 ratings,B0BRTCFQ5G,"ROZEN, ROZEN"
American Tourister Jamaica 80 Cms Large Check-in Polyester Soft Sided 4 Spinner Wheels Luggage (Wine Red),"4,199",4.3,"5,844 ratings",American Tourister,unisex-adult
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,449,3.9,"1,392 ratings",B09TPY1G1W,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
"ASUS TUF Gaming VP5700 46.14 cm Backpack (Black), with Water Repellent Fabric, Suitable for up to 43.18 cm Laptop","1,099",4.4,276 ratings,,
"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,342 ratings,B0BRTCFQ5G,"ROZEN, ROZEN"
Heart Home Small OXO-Biodegradable Waste Bags|30 Bags Roll|Leak Proof & Odour Free|Easy Disposal|Size 43 x 48 CM (Black)-HS41HEARTHH24001 (Plastic),59,3.9,323 ratings,,
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),257,4.1,"2,554 ratings",,
"amazon basics PlasticVacuum Compression Storage Bags With Hand Pump - 6-Pack (2 Jumbo, 2 Large, 2 Medium)",749,4.4,"9,263 ratings",,
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,563,3.8,436 ratings,B0BPVLXD53,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",899,4.5,17 ratings,B097PGGTNJ,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",979,4.3,609 ratings,B094DGX84G,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,929,4.0,"3,244 ratings",B07KMBNKXZ,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
"Amazon Basics Classic Camera Shoulder Bag, Adjustable Strap, Waterproof material, Breathable Mesh, Anti-Shock, Compatible with Nikon, Canon and Sony Mirrorless Cameras",549,3.6,6 ratings,,
SECUREMENT® Tamper Proof Courier Bags with Pod Jacket documen pouch 10x 14 (100 Pcs),325,4.1,314 ratings,,
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 3, Green, For Wet Waste)",189,4.3,635 ratings,B08TDCGCPK,"Cloudtail India Pvt. Ltd., Ground Floor, Rear Portion, H-9, Block B-1, Mohan Cooperative Industrial Area, Mathura Road, New Delhi-110044, India."
"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",429,3.9,"10,499 ratings",,
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,699",4.4,"2,588 ratings",,
"Amazon Basics Laptop Bag with USB Charging Port, Rain Cover and Reflective Strip for College, Office, Travel (Unisex, 35 L, Blue)",799,4.1,191 ratings,,
Heart Home Small OXO-Biodegradable Waste Bags|30 Bags Roll|Leak Proof & Odour Free|Easy Disposal|Size 43 x 48 CM (Black)-HS41HEARTHH24001 (Plastic),59,3.9,323 ratings,,
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,449,3.8,436 ratings,B0BPTV3795,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,542,4.0,777 ratings,B0BS6QM2GD,SHABA BAGS
